sales_order_id,project_id,material_id,order_type,order_status,payment_status,customer_name,customer_type,sales_rep_id,order_date,delivery_date,quantity,unit_price,revenue,cogs,gross_margin,margin_pct,tax_rate,tax_amount,total_amount,currency,delivery_terms,description,created_date
SO-2024-0000001,PRJ-2024-00115,MAT-00000026,STANDARD,IN_PROGRESS,PAID,"Rodriguez, Figueroa and Sanchez",EXTERNAL,EMP-000909,2024-02-14,2024-07-28,457,276.0,126130.36,97016.3,29114.06,23.08,0.15,18919.55,145049.91,SAR,FOB,Say quality throughout.,2024-02-14
SO-2020-0000002,PRJ-2019-00518,MAT-00000617,STANDARD,CLOSED,PAID,Garza Inc,GOVERNMENT,EMP-000029,2020-05-22,2020-06-06,230,211.56,48659.56,34299.15,14360.41,29.51,0.15,7298.93,55958.49,SAR,DDP,Behavior discussion own.,2020-05-22
SO-2021-0000003,PRJ-2019-00285,MAT-00000160,CREDIT_NOTE,IN_PROGRESS,UNBILLED,"Gonzalez, Santos and Gardner",GOVERNMENT,EMP-000290,2021-11-06,2022-01-26,434,364.49,-158186.94,-98736.98,59449.96,37.58,0.05,7909.35,-166096.29,USD,DAP,Last everything thank serve.,2021-11-06
SO-2019-0000004,PRJ-2024-00997,MAT-00000945,STANDARD,IN_PROGRESS,PAID,Wolfe LLC,INTERNAL,EMP-000499,2019-04-09,2019-05-10,186,3161.49,588036.79,482991.62,105045.17,17.86,0.15,88205.52,676242.31,SAR,CIF,Choice whatever from behavior.,2019-04-09
SO-2019-0000005,PRJ-2019-00876,MAT-00000239,STANDARD,DELIVERED,PAID,Howard LLC,GOVERNMENT,EMP-000115,2019-12-10,2020-03-01,182,231.54,42140.73,26998.03,15142.7,35.93,0.0,0.0,42140.73,USD,EXW,Enough analysis least by two bad.,2019-12-10
SO-2023-0000006,PRJ-2022-00651,MAT-00000176,BLANKET,CONFIRMED,PARTIALLY_PAID,Calderon-Montgomery,EXTERNAL,EMP-000668,2023-10-13,2023-12-22,328,128.48,42141.76,35710.12,6431.64,15.26,0.15,6321.26,48463.02,USD,EXW,Officer relate animal direction eye.,2023-10-13
SO-2020-0000007,PRJ-2022-00842,MAT-00000033,STANDARD,IN_PROGRESS,BILLED,Wyatt Inc,EXTERNAL,EMP-000984,2020-06-10,2020-08-17,449,1424.81,639741.34,534649.39,105091.95,16.43,0.15,95961.2,735702.54,SAR,FCA,Everyone player half have decide.,2020-06-10
SO-2022-0000008,PRJ-2019-00147,MAT-00000272,STANDARD,DELIVERED,BILLED,Miles-Sutton,INTERNAL,EMP-000164,2022-07-24,2022-11-07,460,411.55,189312.07,141254.54,48057.53,25.39,0.15,28396.81,217708.88,EUR,DAP,Participant commercial rock.,2022-07-24
SO-2022-0000009,PRJ-2024-00094,MAT-00000774,RETURN,CONFIRMED,BILLED,Ford LLC,EXTERNAL,EMP-000054,2022-07-17,2022-11-05,306,96.76,-29607.66,22801.46,6806.2,22.99,0.0,0.0,-29607.66,SAR,CIF,Detail food shoulder argue start source.,2022-07-17
SO-2023-0000010,PRJ-2020-00882,MAT-00000966,BLANKET,CONFIRMED,OVERDUE,Adams-Clark,INTERNAL,EMP-000012,2023-06-24,2023-08-05,394,342.92,135109.4,106428.3,28681.1,21.23,0.15,20266.41,155375.81,SAR,EXW,Then fire pretty how trip learn.,2023-06-24
